time,x,y,z
57:13.2,0,0,0
57:13.2,0,0,0
57:13.2,0,0,0
57:13.2,0,0,0
57:13.2,0,0,0
57:13.2,0,0,0
57:13.2,0,0,0
57:13.2,0,0,0
57:13.2,0,0,0
57:13.2,0,0,0
57:13.2,0,0,0
57:13.2,0,0,0
57:13.3,0,0,0
57:13.3,0,0,0
57:13.3,0,0,0
57:13.3,0,0,0
57:13.3,0,0,0
57:13.3,0,0,0
57:13.3,0,0,0
57:13.3,0,0,0
57:13.3,0,0,0
57:13.3,0,0,0
57:13.4,0,0,0
57:13.4,0,0,0
57:13.4,0,0,0
57:13.4,0,0,0
57:13.4,0,0,0
57:13.4,0,0,0
57:13.4,0,0,0
57:13.4,0,0,0
57:13.4,0,0,0
57:13.4,0,0,0
57:13.4,0,0,0
57:13.4,0,0,0
57:13.4,0,0,0
57:13.4,0,0,0
57:13.4,0,0,0
57:13.4,0,0,0
57:13.4,0,0,0
57:13.4,0,0,0
57:13.5,0,0,0
57:13.5,0,0,0
57:13.5,0,0,0
57:13.5,0,0,0
57:13.5,0,0,0
57:13.5,0,0,0
57:13.5,0,0,0
57:13.5,0,0,0
57:13.5,0,0,0
57:13.5,0,0,0
57:13.5,0,0,0
57:13.5,0,0,0
57:13.5,0,0,0
57:13.5,0,0,0
57:13.5,0,0,0
57:13.6,0,0,0
57:13.6,0,0,0
57:13.6,0,0,0
57:13.6,0,0,0
57:13.6,0,0,0
57:13.6,0,0,0
57:13.6,0,0,0
57:13.6,0,0,0
57:13.6,0,0,0
57:13.6,0,0,0
57:13.6,0,0,0
57:13.6,0,0,0
57:13.6,0,0,0
57:13.6,0,0,0
57:13.6,0,0,0
57:13.7,0,0,0
57:13.7,0,0,0
57:13.7,0,0,0
57:13.7,0,0,0
57:13.7,0,0,0
57:13.7,0,0,0
57:13.7,0,0,0
57:13.7,0,0,0
57:13.7,0,0,0
57:13.7,0.04,0,-0.08
57:13.7,0.03,0.04,-0.06
57:13.7,0,0.03,-0.01
57:13.7,0,0.03,-0.01
57:13.7,0.02,0,0.02
57:13.8,0.02,-0.02,0.05
57:13.8,0.01,-0.03,0.03
57:13.8,0.01,-0.03,0.03
57:13.8,0.03,-0.02,0
57:13.8,0.04,-0.01,-0.01
57:13.8,0.03,-0.01,-0.02
57:13.8,0.03,-0.01,-0.02
57:13.8,0,-0.01,-0.01
57:13.8,-0.02,0.01,-0.03
57:13.8,-0.02,0.01,-0.02
57:13.8,-0.02,0.01,-0.02
57:13.8,-0.01,0.01,0
57:13.8,-0.01,0,0
57:13.9,-0.01,0,0
57:13.9,-0.01,0,0
57:13.9,-0.01,-0.03,-0.01
57:13.9,0,-0.01,-0.02
57:13.9,-0.04,-0.03,-0.04
57:13.9,-0.03,0.03,-0.03
