time,x,y,z
00:10.3,-0.05,0.06,-0.28
00:10.3,-0.05,0.06,-0.28
00:10.3,0.04,0.13,-0.32
00:10.3,0.16,0.2,-0.41
00:10.4,0.05,0.19,-0.36
00:10.4,0.01,0.21,-0.27
00:10.4,0.01,0.21,-0.27
00:10.4,0.04,0.19,-0.31
00:10.4,0.14,0.21,-0.37
00:10.4,0.07,0.16,-0.34
00:10.4,0.07,0.16,-0.34
00:10.4,0.03,0.13,-0.31
00:10.4,0.03,0.06,-0.3
00:10.4,0.02,0.01,-0.32
00:10.4,0.02,0.01,-0.32
00:10.4,0,0.01,-0.33
00:10.5,0.07,0.04,-0.42
00:10.5,0.05,0.16,-0.39
00:10.5,0.19,0.27,-0.41
00:10.5,0.19,0.27,-0.41
00:10.5,0.06,0.22,-0.4
00:10.5,0.05,0.22,-0.32
00:10.5,0.04,0.19,-0.33
00:10.5,0.03,0.09,-0.33
00:10.5,0.03,0.09,-0.33
00:10.5,0.03,0.13,-0.32
00:10.5,0.06,0.12,-0.27
00:10.5,0.09,0.14,-0.31
00:10.5,0.09,0.14,-0.31
00:10.5,0.05,0.1,-0.33
00:10.6,0,0.07,-0.26
00:10.6,0.09,0.12,-0.34
00:10.6,0.09,0.12,-0.34
00:10.6,0.24,0.18,-0.36
00:10.6,0.15,0.13,-0.37
00:10.6,0.06,0.08,-0.31
00:10.6,0,0.1,-0.24
00:10.6,0,0.1,-0.24
00:10.6,0.06,0.15,-0.26
00:10.6,0.17,0.17,-0.42
00:10.6,0.09,0.18,-0.39
00:10.6,0.09,0.18,-0.39
00:10.6,0.06,0.2,-0.33
00:10.6,0.04,0.12,-0.31
00:10.6,-0.05,0.06,-0.31
00:10.7,-0.05,0.06,-0.31
00:10.7,-0.05,0.02,-0.34
00:10.7,-0.01,0.14,-0.34
00:10.7,0.12,0.23,-0.42
00:10.7,0.19,0.27,-0.44
00:10.7,0.19,0.27,-0.44
00:10.7,0.2,0.25,-0.44
00:10.7,0.09,0.18,-0.38
00:10.7,0.06,0.09,-0.28
00:10.8,0.06,0.09,-0.28
00:10.8,0,0,-0.25
00:10.8,-0.04,0,-0.28
00:10.8,-0.03,0.09,-0.25
00:10.8,-0.03,0.09,-0.25
00:10.8,0.05,0.16,-0.35
00:10.8,0.13,0.15,-0.4
00:10.8,0.13,0.12,-0.41
00:10.8,0.11,0.12,-0.4
00:10.8,0.11,0.12,-0.4
00:10.8,0.08,0.14,-0.33
00:10.8,0.13,0.11,-0.36
00:10.8,0.09,0.08,-0.35
00:10.8,0.09,0.08,-0.35
00:10.8,0.04,0.02,-0.31
00:10.9,0.01,0.14,-0.26
00:10.9,0,0.15,-0.31
00:10.9,0,0.15,-0.31
00:10.9,0.06,0.14,-0.42
00:10.9,0.1,0.16,-0.42
00:10.9,0.11,0.19,-0.36
00:10.9,0.13,0.11,-0.4
00:10.9,0.13,0.11,-0.4
00:10.9,-0.09,0,-0.29
00:10.9,-0.04,0.1,-0.3
00:10.9,0.11,0.16,-0.34
00:10.9,0.11,0.16,-0.34
00:10.9,0.06,0.14,-0.33
00:10.9,0.04,0.1,-0.33
00:11.0,0.07,0.16,-0.2
00:11.0,0.07,0.16,-0.2
00:11.0,0.22,0.1,-0.36
00:11.0,0.23,0.05,-0.51
00:11.0,0.03,0.1,-0.31
00:11.0,0.02,0.09,-0.33
00:11.0,0.02,0.09,-0.33
00:11.0,0.09,0.14,-0.4
00:11.0,0.06,0.14,-0.34
00:11.0,0.03,0.09,-0.34
00:11.1,0.03,0.09,-0.34
00:11.1,-0.02,0.05,-0.25
00:11.1,0.08,0.05,-0.38
00:11.1,0.18,0.13,-0.45
00:11.1,0.18,0.13,-0.45
00:11.1,0.06,0.1,-0.41
00:11.1,0.03,0.13,-0.31
00:11.1,0.04,0.14,-0.35
00:11.1,0.09,0.13,-0.36
00:11.1,0.09,0.13,-0.36
00:11.1,0.09,0.08,-0.38
00:11.1,0.07,0.16,-0.33
00:11.1,0.16,0.2,-0.35
00:11.1,0.08,0.09,-0.35
00:11.2,0.08,0.09,-0.35
00:11.2,0,0.04,-0.36
00:11.2,-0.01,0.15,-0.31
00:11.2,0.18,0.12,-0.51
00:11.2,0.18,0.12,-0.51
00:11.2,0.14,0.12,-0.44
00:11.2,0.02,0.15,-0.27
00:11.2,0.01,0.06,-0.25
00:11.2,0.13,0.17,-0.32
00:11.2,0.13,0.17,-0.32
00:11.2,0.12,0.13,-0.33
00:11.2,0.02,0.02,-0.33
00:11.2,0,0.06,-0.27
00:11.3,0,0.06,-0.27
00:11.3,0.01,0,-0.33
00:11.3,0.11,0.07,-0.33
00:11.3,0.01,0.06,-0.32
00:11.3,0.01,0.06,-0.32
00:11.3,0.04,0.11,-0.32
00:11.3,0.04,0.15,-0.3
00:11.3,0.1,0.13,-0.42
00:11.3,0.1,0.22,-0.38
00:11.3,0.1,0.22,-0.38
00:11.3,-0.01,0.2,-0.38
00:11.3,0,0.12,-0.42
00:11.3,0.02,0.09,-0.42
00:11.3,0.03,0.14,-0.37
00:11.4,0.03,0.14,-0.37
00:11.4,-0.01,0.09,-0.3
00:11.4,-0.08,0,-0.25
00:11.4,0.06,0.13,-0.3
00:11.4,0.06,0.13,-0.3
00:11.4,0.18,0.14,-0.32
00:11.4,0.05,0.22,-0.21
00:11.4,0.16,0.13,-0.31
00:11.4,0.16,0.13,-0.31
00:11.4,0.12,0.02,-0.39
00:11.4,0,0.06,-0.25
00:11.4,0.07,0.04,-0.35
00:11.4,0.09,0.12,-0.34
00:11.4,0.09,0.12,-0.34
00:11.5,0.11,0.14,-0.32
00:11.5,0.08,0.17,-0.38
00:11.5,0.07,0.16,-0.35
00:11.5,0.07,0.16,-0.35
00:11.5,0.08,0.09,-0.41
00:11.5,0.04,0.13,-0.36
00:11.5,0.09,0.22,-0.41
00:11.5,0.09,0.22,-0.41
00:11.5,0.25,0.27,-0.63
00:11.6,0.37,0.5,-0.95
00:11.6,1.08,1.15,-1.27
00:11.6,1.19,1.14,-1.25
00:11.6,1.19,1.14,-1.25
00:11.6,1.16,1.08,-0.88
00:11.6,0.82,0.74,-0.41
00:11.6,0.39,-0.62,-0.22
00:11.6,-0.39,-1.45,0.31
00:11.6,-0.39,-1.45,0.31
00:11.6,-0.66,-2.08,1.1
00:11.6,-1.04,-2.35,1.35
00:11.6,-0.61,-1.46,1.03
00:11.6,-0.61,-1.46,1.03
00:11.6,-0.44,-1.43,0.17
00:11.6,-0.39,-1.24,0.05
00:11.7,-1.09,-1.19,0.5
00:11.7,-0.32,-0.56,-0.14
00:11.7,-0.32,-0.56,-0.14
00:11.7,-0.03,-0.02,-0.46
00:11.7,0.12,0.43,-0.62
00:11.7,0.7,0.57,-0.86
00:11.7,0.48,0.74,-1.49
00:11.7,0.48,0.74,-1.49
00:11.7,1,0.98,-1.33
00:11.7,0.86,1.15,-1.45
00:11.7,0.73,1.04,-1.12
00:11.7,0.82,1.12,-1.25
00:11.7,0.82,1.12,-1.25
00:11.7,1.11,1.27,-1.38
00:11.8,1.46,1.44,-1.38
00:11.8,1.27,0.98,-0.48
00:11.8,1.27,0.98,-0.48
00:11.8,1.07,0.11,-0.31
00:11.8,0.66,-0.91,0.07
00:11.8,-0.74,-1.87,0.64
00:11.8,-0.77,-2.27,1.13
00:11.8,-0.77,-2.27,1.13
00:11.8,-0.27,-1.89,1.48
00:11.8,-0.32,-2.03,0.72
00:11.8,-0.8,-1.97,1.29
00:11.8,-0.95,-1.75,0.83
00:11.8,-0.95,-1.75,0.83
00:11.9,-0.95,-1.56,0.47
00:11.9,-0.41,-1.76,-0.24
00:11.9,-0.7,-1.18,-0.39
00:11.9,0,1.06,-0.36
00:11.9,0,1.06,-0.36
00:11.9,0.71,1.41,-1.56
00:11.9,1.24,-0.28,-3.49
00:11.9,0.72,1.49,-2.87
00:11.9,0.72,1.49,-2.87
00:12.0,3.31,4.37,-2.94
00:12.0,2.37,3.19,-3.2
00:12.0,2.36,2.62,-3.16
00:12.0,2.31,2.73,-1.99
00:12.0,2.31,2.73,-1.99
00:12.0,0.41,-0.61,0.64
00:12.0,-1.66,-2.4,2.42
00:12.0,-2.51,-1.85,3.08
00:12.0,-0.75,-3.27,2.57
00:12.0,-0.75,-3.27,2.57
00:12.0,-0.93,-4.12,0.73
00:12.0,-0.83,-3.35,0.53
00:12.0,-0.73,-2.58,0.97
00:12.0,-0.29,-1.98,0.25
00:12.1,-0.29,-1.98,0.25
00:12.1,0.61,-1.44,-0.9
00:12.1,1.32,-0.4,-1.91
00:12.1,1.8,1.33,-1.7
00:12.1,1.8,1.33,-1.7
00:12.1,1.65,2.36,-1.34
00:12.1,1.69,3.65,-0.67
00:12.1,2.92,2.79,-1.74
00:12.1,2.28,0.5,-3.06
00:12.1,2.28,0.5,-3.06
00:12.1,0.07,1.15,1.6
00:12.1,-0.97,-0.18,0.85
00:12.1,-0.19,-0.41,1.61
00:12.1,-0.51,-1.15,0.75
00:12.2,-0.51,-1.15,0.75
00:12.2,-1.47,-3.01,0.8
00:12.2,-1.54,-2.94,0.91
00:12.2,-1.31,-2.61,0.79
00:12.2,-0.73,-2.03,0.56
00:12.2,-0.73,-2.03,0.56
00:12.2,-0.51,-1.34,0
00:12.2,0.04,-1.26,-0.39
00:12.2,1.02,-0.7,-1.34
00:12.2,2.21,0.07,-2.38
00:12.2,2.21,0.07,-2.38
00:12.2,2.86,2.12,-2.7
00:12.2,2.57,2.81,-1.69
00:12.2,2.12,3.09,-0.85
00:12.2,2.12,3.09,-0.85
00:12.3,1.4,2.65,-0.34
00:12.3,0.5,1.06,0.51
00:12.3,0.24,0.05,-0.11
00:12.3,0.03,-0.93,-0.31
00:12.3,0.03,-0.93,-0.31
00:12.3,-1.42,-2.75,0.46
00:12.3,-1.71,-3.15,0.32
00:12.3,-1.48,-3.01,0.49
00:12.3,-1.32,-2.74,0.31
00:12.4,-1.32,-2.74,0.31
00:12.4,-0.09,-1.67,-0.4
00:12.4,0.75,-0.69,-1.11
00:12.4,1.39,0.31,-1.36
00:12.4,1.54,1.4,-0.76
00:12.4,1.54,1.4,-0.76
00:12.4,1.06,2.65,0.65
00:12.4,0.72,2.27,0.68
00:12.4,0.56,0.93,0.13
00:12.4,0.56,0.93,0.13
00:12.4,0.33,-0.55,-0.52
00:12.4,-0.82,-2.1,0.13
00:12.4,-1.53,-2.27,1.01
00:12.5,-1.92,-2.35,1.27
00:12.5,-1.92,-2.35,1.27
00:12.5,-1.89,-2.24,1.21
00:12.5,-0.19,-1.19,-0.49
00:12.5,0.98,-0.51,-1.84
00:12.5,1.72,0.54,-2.09
00:12.5,1.72,0.54,-2.09
00:12.5,2.2,1.8,-2.08
00:12.5,1.75,2.86,-0.77
00:12.5,1.12,3.06,0.01
00:12.5,1.12,3.06,0.01
00:12.5,0.78,2.78,0.57
00:12.5,0.36,2,0.99
00:12.6,-1.04,-1.31,0.62
00:12.6,-1.87,-2.47,0.77
00:12.6,-1.87,-2.47,0.77
00:12.6,-2.13,-3.46,0.4
00:12.6,-1.66,-3.52,-0.32
00:12.6,-1.15,-2.74,-0.78
00:12.6,-0.48,-2.05,-1.19
00:12.6,-0.48,-2.05,-1.19
00:12.6,0.52,-1.14,-1.55
00:12.6,1.31,0.9,-1.7
00:12.6,1.34,1.88,-1.48
00:12.6,1.3,2.48,-1.01
00:12.6,1.3,2.48,-1.01
00:12.6,1.16,2.46,-0.68
00:12.7,0.36,1.69,-0.08
00:12.7,-0.28,0.72,0.09
00:12.7,-0.28,0.72,0.09
00:12.7,-1.07,-0.33,0.34
00:12.7,-1.34,-1.2,0.19
00:12.7,-0.87,-1.82,-0.69
00:12.7,-0.6,-1.51,-0.88
00:12.7,-0.6,-1.51,-0.88
00:12.7,-0.28,-1.16,-1.12
00:12.8,-0.07,-0.82,-1.27
00:12.8,0.5,-0.22,-1.47
00:12.8,0.28,-0.17,-1.13
00:12.8,0.28,-0.17,-1.13
00:12.8,0.28,-0.2,-0.9
00:12.8,0.14,-0.14,-0.55
00:12.8,-0.07,0.32,-0.25
00:12.8,0.53,0.98,-0.45
00:12.8,0.53,0.98,-0.45
00:12.8,1.07,1.37,-0.73
00:12.8,1.39,1.66,-0.86
00:12.8,0.87,1.13,-0.45
00:12.8,0.27,0.27,-0.08
00:12.8,0.27,0.27,-0.08
00:12.8,-0.17,-0.65,-0.1
00:12.9,-0.85,-1.62,0.44
00:12.9,-1.25,-2.07,0.59
00:12.9,-1.25,-2.07,0.59
00:12.9,-1.27,-2.43,0.5
00:12.9,-1.33,-2.48,0.45
00:12.9,-1.05,-2.32,0.25
00:12.9,-0.67,-1.78,0.12
00:12.9,-0.67,-1.78,0.12
00:12.9,-0.4,-1.12,0.3
00:12.9,-0.09,-0.46,-0.04
00:12.9,0.88,1.03,-0.58
00:12.9,1.35,1.51,-0.71
00:12.9,1.35,1.51,-0.71
00:12.9,1.53,1.94,-0.85
00:13.0,1.4,2.31,-0.67
00:13.0,1.42,2.01,-0.57
00:13.0,1.05,1.25,-0.64
00:13.0,1.05,1.25,-0.64
00:13.0,0.62,0.44,-0.58
00:13.0,0.29,-0.07,-0.44
00:13.0,-0.51,-1.04,-0.03
00:13.0,-0.51,-1.04,-0.03
00:13.0,-0.7,-1.73,0.31
00:13.0,-0.92,-2.47,-0.26
00:13.0,-0.93,-2.62,-0.32
00:13.0,-0.8,-2,0.03
00:13.0,-0.8,-2,0.03
00:13.1,-0.43,-1.79,-0.06
00:13.1,0.06,-1.38,-0.24
00:13.1,0.38,-0.73,-0.83
00:13.1,1.39,0.79,-0.97
00:13.1,1.39,0.79,-0.97
00:13.1,1.5,1.44,-0.53
00:13.1,1.06,1.91,0
00:13.1,0.53,1.45,0.45
00:13.1,0.53,1.45,0.45
00:13.1,0.5,0.83,0.26
00:13.2,0.05,0.21,0.57
00:13.2,-0.63,-0.51,0.88
